Day,Objective,"Campaign Name","Ad Set Name","Ad Name",Gender,Age,"Amount Spent (USD)",Reach,Impressions,"Unique Link Clicks","Unique Landing Page Views","Website Registrations Completed","App Installs","Unique Mobile App Registrations Completed","Mobile App Purchases","Reporting Starts","Reporting Ends"
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",male,55-64,0.06,4,4,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",male,35-44,0.08,7,7,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - iOS - Memes","TBA 2021 UA iOS - Pooh Bear",male,45-54,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",male,45-54,0.12,7,7,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - Android - Memes","TBA 2021 UA Android - Pooh Bear",male,25-34,0.15,18,18,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Money March B",male,35-44,0.17,18,18,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Money March B",male,25-34,0.58,32,34,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Money March B",male,65+,0.24,6,6,1,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - iOS - Memes","TBA 2021 UA iOS - Pooh Bear",male,25-34,0.14,6,6,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T1 LAL 3% - 25+ - iOS - Memes","TBA 2021 UA iOS - Pooh Bear",male,35-44,0,2,3,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - iOS - Test Group","TBA 2021 UA iOS - Money March B",female,25-34,0.01,4,4,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Money Market B",male,45-54,0.56,17,17,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch)",male,45-54,0.22,5,5,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear - Branch Test 2","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch Link)",male,45-54,0.01,2,2,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch)",male,25-34,0.14,7,7,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch)",male,35-44,0.07,6,6,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch)",female,35-44,0.16,2,2,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - LAL CAI 3% - 25-54 - Memes","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch)",female,25-34,0.09,2,2,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - T2 LAL 5% - 25+ - Android - Memes","TBA 2021 UA Android - Buff Doge",male,55-64,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined Lookalikes (Old) - 25+ - Android","TBA 2021 UA Android - Pooh Bear",male,45-54,0.01,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined Lookalikes (Old) - 25+ - Android","TBA 2021 UA Android - Pooh Bear",male,65+,0.02,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear - Branch Test 2","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch Link)",female,35-44,0.07,4,4,,,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined LAL (New) - 25+ - Android - Test Group","TBA 2021 UA Android - Purple Chart",male,45-54,0,1,1,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear - Branch Test 2","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch Link)",male,35-44,0.41,30,30,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear - Branch Test 2","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch Link)",female,25-34,0.44,6,6,,,,,,,2021-03-21,2021-03-21
2021-03-21,CONVERSIONS,"Tellus Boost 2021 UA Web Conversions","TBA 2021 UA WC - Combined Lookalikes (Old) - US 25-45 - Pooh Bear - Branch Test 2","TBA 2021 UA WC - Pooh Bear - Cash LP (Branch Link)",male,25-34,0.83,32,32,1,1,,,,,2021-03-21,2021-03-21
2021-03-21,APP_INSTALLS,"Tellus Boost 2021 UA App Installs","TBA 2021 UA AI - Combined Lookalikes (Old) - 25+ - Android","TBA 2021 UA Android - Pooh Bear",male,35-44,0.04,2,2,,,,,,,2021-03-21,2021-03-21
